자치구별,직장인구 score,대학교 score,지하철역 score,헬스장 score,합계
강남구,25.0,0.0,7.5,40.0,72.5
송파구,5.516374936272487,3.571428571428571,10.0,23.176733780760625,42.26453728846168
서초구,7.895805178585398,3.571428571428571,4.285714285714286,24.340044742729305,40.09299277845756
중구,13.646859211424287,7.142857142857142,8.214285714285714,10.827740492170022,39.83174256073717
성북구,1.030969548364125,25.0,3.2142857142857144,8.143176733780761,37.388431996430604
노원구,0.3195816777667182,21.428571428571427,4.642857142857143,9.12751677852349,35.518527027718775
서대문구,0.8670313633776526,25.0,1.7857142857142858,6.532438478747204,34.18518412783914
종로구,7.127770629506445,14.285714285714285,5.357142857142857,5.100671140939598,31.871298913303185
강서구,0.9957676838791646,7.142857142857142,3.2142857142857144,20.04474272930649,31.397653270328508
광진구,1.2309862726215812,10.714285714285714,3.9285714285714284,13.95973154362416,29.833574959102883
마포구,3.0617529719275245,7.142857142857142,5.7142857142857135,13.512304250559284,29.431200079629665
동대문구,1.4348468786331428,14.285714285714285,2.142857142857143,9.664429530201343,27.527847837405915
구로구,2.919799093113652,10.714285714285714,2.5,8.76957494407159,24.903659751470954
동작구,1.2098112047130036,10.714285714285714,4.285714285714286,7.427293064876958,23.637104269589962
용산구,5.367744841780432,7.142857142857142,3.5714285714285716,7.069351230425056,23.151381786491203
영등포구,5.656710338558315,0.0,3.9285714285714284,12.617449664429529,22.202731431559272
성동구,1.5319554703157918,7.142857142857142,5.0,7.6957494407158835,21.37056205388882
관악구,0.5978247675463086,3.571428571428571,1.4285714285714284,12.975391498881432,18.573216266427742
은평구,0.5081341932838619,3.571428571428571,4.642857142857143,9.395973154362416,18.118393061931993
강동구,0.8954221391404272,0.0,5.0,10.46979865771812,16.365220796858548
양천구,0.9126184522508962,0.0,1.7857142857142858,11.543624161073826,14.241956899039007
중랑구,0.33549669695915235,3.571428571428571,2.8571428571428568,6.353467561521253,13.117535687051832
도봉구,0.31236596991252136,3.571428571428571,1.0714285714285714,6.97986577181208,11.935088884581745
금천구,3.286249153671649,0.0,0.3571428571428571,6.085011185682326,9.728403196496831
강북구,0.269611214963355,0.0,1.0714285714285714,4.47427293064877,5.815312717040696
