,사업장명,지역(구)
861,유니버셜휘트니스크럽,도봉구
862,TOP GYM(무에타이주짓수),도봉구
863,제일헬스크럽,도봉구
864,아이언짐 방학점,도봉구
865,워라밸 피트니스,도봉구
866,HR Max Gym 스튜디오,도봉구
867,쌍문역점 스포애니 주)케이디스포츠,도봉구
868,월드헬스크럽,도봉구
869,커브스 창동 클럽,도봉구
870,스포119 방학역점,도봉구
871,월드남녀헬스타운,도봉구
872,꿀핏 PT&PILATES,도봉구
873,창동점 스포애니,도봉구
874,Kings Gym,도봉구
875,정윤재 헬스클럽,도봉구
876,(주)루케테,도봉구
877,휴먼휘트니스클럽,도봉구
878,도봉헬스클럽,도봉구
879,라이프 휘트니스,도봉구
880,휘트니스W창동점,도봉구
881,크로스핏 앤츠,도봉구
882,쏘.핏,강남구
883,스타보디빌딩,도봉구
884,탐 휘트니스,도봉구
885,J&S GYM,도봉구
886,글로리아 휘트니스,도봉구
887,Fitness body No.1,도봉구
888,크로스핏 얼티메이트,도봉구
889,도봉스카이돔 헬스장,도봉구
890,지엘 핏,도봉구
891,GYM90,도봉구
892,대영헬스,도봉구
893,포코-벤 헬스,도봉구
894,블랙핏,강북구
895,루이 짐,도봉구
896,Fitness Tok,도봉구
897,슈퍼스타S 휘트니스,도봉구
898,비타민헬스클럽,도봉구
899,우리동네 체육관,도봉구
900,S gym,도봉구
901,건강해GYM,도봉구
902,초이스 짐,도봉구
903,비타민플러스휘트니스,도봉구
904,비타민헬스,도봉구
905,D-GYM,도봉구
906,스포벡휘트니스 방학쌍문점,도봉구
907,스포애니 공릉점,노원구
908,휘트니스꿈&필라테스,노원구
909,발리짐 노원역점,노원구
910,아폴로휘트니스,노원구
911,운동하는 날 day,노원구
912,레몬핏 휘트니스,노원구
913,수호 바디짐,노원구
914,노원점 스포애니 주)케이디스포츠,노원구
915,주니어핏,노원구
916,인헬서짐 월계역점,노원구
917,엔비짐PT,노원구
918,우리스포츠센터,노원구
919,재미짐,노원구
920,비담핏(ViDamFIT),노원구
921,GYM90 Pt StuDio(짐구공피티스튜디오)상계점,노원구
922,메이크짐,노원구
923,JY GYM,강서구
924,위스테이 휘트니스,송파구
925,베네핏,노원구
926,상계역점 스포애니 주)케이디스포츠,노원구
927,핏구공피티스튜디오&소정필라테스,노원구
928,에이플랜짐,노원구
929,카인드짐휘트니스&스쿼시,노원구
930,프리원핏,노원구
931,빌리버짐,노원구
932,윤스피티,노원구
933,와일드짐,노원구
934,BODY CPR,노원구
935,피트니스위 광운대역점,노원구
936,Hellene (헬린),노원구
937,하디핏,노원구
938,크로스핏 Dragon,노원구
939,에이블짐 노원역 2호점,노원구
940,노원헬스,노원구
941,위짐(we Gym),노원구
942,고릴라멀티짐,노원구
943,시티짐,노원구
944,꿀핏휘트니스,노원구
945,에이블짐 휘트니스,노원구
946,FITNESS GOJIB,노원구
947,에이블짐 휘트니스,노원구
948,위너짐,노원구
949,FITNESS 510 김정민 퍼스널 트레이닝,노원구
950,MVGYM,노원구
951,휘트니스앤짐,노원구
952,와우짐,노원구
953,K.B샵,노원구
954,흥봉헬스클럽,노원구
955,뉴크로핏,노원구
956,워너핏휘트니스,노원구
957,마이핏 휘트니스,노원구
958,머슬톡 휘트니스,노원구
959,레몬핏휘트니스,노원구
960,피트니스 고집,노원구
961,펀더멘틀 크로스핏,노원구
962,에이치짐,노원구
963,아크로짐 헬스PT&골프 돈암점,성북구
964,SN Fitness,노원구
965,휘트니스 꿈,노원구
966,피트니스 아레나,노원구
967,라이트짐(LIGHT GYM),강남구
968,바디짐,노원구
969,서정피트니스,노원구
970,HAHA 맞춤운동센터,노원구
971,운동에 빠지다,노원구
972,우리스포츠센터(헬스),노원구
973,바디채널 공릉역점,노원구
974,발리짐 상계역점,노원구
975,서울산업대스포츠센터,노원구
976,FitnessCC,노원구
977,커브스 마들클럽,노원구
978,FITNESS인,노원구
979,아이언 휘트니스,노원구
980,김정민 퍼스널 트레이닝 스튜디오,노원구
981,부르스타짐 공릉점,노원구
982,레몬핏휘트니스,노원구
983,바디짐헬스,노원구
984,미스.미스터헬스크럽,노원구
985,박흥래남.여헬스,노원구
986,빅토리헬스크럽,노원구
987,라인업 휘트니스 클럽,노원구
988,굿모닝휘트니스,노원구
989,동천재활체육센터,노원구
990,Hoya Gym,서초구
991,리드 피트니스,노원구
992,소운소 Ark Gym,노원구
993,LJ PT,노원구
994,부르스타짐(주),노원구
995,건영스파밸리헬스클럽,노원구
996,피트니스 뭅,노원구
997,다미넬GYM,은평구
998,한스바디밸런스,은평구
999,휘트니스 에일린 2호점,관악구
1000,바디메카,은평구
1001,AML(Athletic Movement Lab),강남구
1002,피트니스플랜비,마포구
1003,올바른 PT,강동구
1004,커브스은평뉴타운클럽,은평구
1005,스포짐코리아,은평구
1006,불광역점 스포애니 (주)케이디스포츠,은평구
1007,근본 PT 스튜디오,송파구
1008,멀티짐,은평구
1009,준석 휘트니스,은평구
1010,피티몽키위드레몬,마포구
1011,밀론앤스마트짐,은평구
1012,스포애니 응암오거리점,은평구
1013,랜드짐,은평구
1014,연신내역 스포애니 (주)케이디스포츠,은평구
1015,흥바디짐,은평구
1016,멀티짐 2.0,은평구
1017,이큐빅희트니스,은평구
1018,이브핏(광화문점),종로구
1019,드림라인휘트니스,은평구
1020,주식회사 피트니스101,종로구
1021,COGIT(코지트),종로구
1022,무지개헬스,은평구
1023,태영패미리헬스,은평구
1024,개선남여피아,은평구
1025,디딤휘트니스,은평구
1026,커브스응암클럽,은평구
1027,커브스녹번클럽,은평구
1028,F45,종로구
1029,듀얼핏,종로구
1030,15짐,은평구
1031,스포애니 동묘앞역점,종로구
1032,바디짐헬스,은평구
1033,테크노헬스,은평구
1034,메트로휘트니스센타,은평구
1035,테크노 헬스,은평구
1036,현봉휘트니스,은평구
1037,써니휘트니스헬스,은평구
1038,엔젤스 헤이븐,은평구
1039,피렉스휘트니스,은평구
1040,청자헬스,은평구
1041,브라이언박 트레이닝,은평구
1042,에스에스헬스장,은평구
1043,매일헬쓰클럽,은평구
1044,짐피닉스,종로구
1045,Wellness K(웰니스 케이),종로구
1046,리마인드짐,은평구
1047,(주)케이에스스포짐,종로구
1048,필라테스.피티.시도하다,종로구
1049,태민PT GYM,은평구
1050,피트니스랩,은평구
1051,스퀘어 짐,은평구
1052,몬스터짐 광화문본점,종로구
1053,원알엠피트니스,종로구
1054,바디팩토리,종로구
1055,파고다,종로구
1056,헬스박스,은평구
1057,커브스 연신내클럽,은평구
1058,구산역점 스포애니 (주)케이디스포츠,은평구
1059,아이언 휘트니스,은평구
1060,팩토리짐,은평구
1061,응암역점 스포애니 (주)케이디스포츠,은평구
1062,맥스휘트니스,은평구
1063,제우스짐,은평구
1064,영광헬스,은평구
1065,수양헬스,은평구
1066,옵티마 헬스,은평구
1067,아인스포츠 불광스포렉스,은평구
1068,구산헬쓰,은평구
1069,웰니스 짐,은평구
1070,월드헬스,은평구
1071,GYM 3.0,은평구
1072,에이짐 휘트니스,은평구
1073,DOUM PT,서초구
1074,역촌 명성체육관,은평구
1075,Timeless PT Studio,은평구
1076,스테이핏,은평구
1077,스윗 PT샵,은평구
1078,에이펙스 피트니스(APEX FITNESS),은평구
1079,파크짐,은평구
1080,made PT studio,은평구
1081,Korean Top Team DOWN GYM,은평구
1082,에르제 스튜디오,은평구
1083,바른짐 PT,은평구
1084,워너짐 PT 가양점,강서구
1085,슬기로운 GYM,은평구
1086,에이블짐 응암점,은평구
1087,어반컴퍼니,은평구
1088,이펙트짐,은평구
1089,제이에이치짐,은평구
1090,바디코어짐,서대문구
1091,아이소포스짐,서대문구
1092,마이스타,서대문구
1093,라이프플러스 휘트니스 가좌역점,서대문구
1094,익스트림 컴뱃,서대문구
1095,짐티피 연대이대 3호점,서대문구
1096,CORE LAB,영등포구
1097,Fitness W (피트니스 더블유),서대문구
1098,OPgym,서대문구
1099,바디온도,동대문구
1100,주) 건강과땀 휘트니스 명지대,서대문구
1101,셀프메이드짐 2,서대문구
1102,아지트(Hide out),서대문구
1103,바나나휘트니스,서대문구
1104,삼성골드헬스,서대문구
1105,JC헬스,서대문구
1106,준일 극동 휘트니스,서대문구
1107,제이피티샵 홍제점,서대문구
1108,월드휘트니스,서대문구
1109,성은헬스,서대문구
1110,더짐휘트니스,서대문구
1111,(주)허공,서대문구
1112,명품헬스,서대문구
1113,잇바디 휘트니스,서대문구
1114,VIP 휘트니스,서대문구
1115,스타칼리 휘트니스,서대문구
1116,제프웰니스센터,서대문구
1117,커브스홍제클럽,서대문구
1118,헬스보이,서대문구
1119,스타칼리휘트니스,서대문구
1120,고미짐,서대문구
1121,리두컴퍼니,서대문구
1122,SOMA FITNESS,서대문구
1123,크로스핏 스팀펑크 신촌,서대문구
1124,커브스 가재울 클럽,서대문구
1125,스타칼리 휘트니스,서대문구
1126,푸쉬앤풀 피티짐,서대문구
1127,리커버리PT스튜디오,서대문구
1128,STILL WE GO(스틸위고),서대문구
1129,GymSH 퍼스널트레이닝,서대문구
1130,노블핏짐,서대문구
1131,피티스튜디오 빛,서대문구
1132,짐굿라이프,서대문구
1133,더 포스짐,서대문구
1134,운동하는날,서대문구
1135,PT STUDIO SOOM,서대문구
1136,SSAC PT,서대문구
1137,3Y짐,서대문구
1138,운동하기 좋은날,서대문구
1139,크로스핏 남산,용산구
1140,리플레이,서대문구
1141,피트니스 소마,서대문구
1142,매직짐,서대문구
1143,겟투잇(Get to it),서대문구
1144,오늘부터 핏,서대문구
1145,우리짐 홍대점,마포구
1146,짐티피 홍대입구역점,마포구
1147,GOTO 상암,마포구
1148,시너짐(SYNERGYM),마포구
1149,피트니스 원,마포구
1150,건강해GYM,마포구
1151,셀프메이드짐(SELFMADE GYM),마포구
1152,Playground,마포구
1153,주식회사 엠휘트니스7,마포구
1154,온더피트니스,마포구
1155,리즈퍼스널트레이닝,마포구
1156,프로핏 1:1피티 스튜디오,마포구
1157,크로스핏헬퍼2호점 DMC상암점,마포구
1158,플루언트(FLUENT),마포구
1159,여성전용헬스장PT(메디컬필라테스마마3호점),마포구
1160,크로스핏 헬퍼,마포구
1161,에이블짐 삼성중앙역점,강남구
1162,Gym Tipi,마포구
1163,에프45(F45)상암,마포구
1164,바른핏,마포구
1165,합정역점 스포애니 주식회사 케이디스포츠,마포구
1166,모멘텀(MMT FITNESS),마포구
1167,일레븐피티 마포점,마포구
1168,커브스 상암클럽,마포구
1169,SBT 퍼스널트레이닝,마포구
1170,여우공간 필라테스(신촌점),마포구
1171,Gooood Gym,마포구
1172,이뮨,마포구
1173,달리짐(DALLI GYM),마포구
1174,세이프짐,마포구
1175,짐쉐이프,마포구
1176,피트니스랩,마포구
1177,Sweet spot,마포구
1178,프리베핏 2호점,마포구
1179,민데이짐,마포구
1180,클레어 피트니스 필라테스&PT 이수역점,동작구
1181,낭만PT,마포구
1182,헬스GO 피트니스,마포구
1183,MOVE UP,마포구
1184,홍대 프로씨드 짐,마포구
1185,공덕역점 스포애니 주)케이디스포츠,마포구
1186,허니짐,마포구
1187,에이블짐 신촌점,마포구
1188,빗미PT,마포구
1189,머슬마인드,마포구
1190,GYM Doit,마포구
1191,F45 공덕,마포구
1192,헬스보이짐 상암MBC점,마포구
1193,슈퍼바디짐,마포구
1194,카디오짐,마포구
1195,PUSHUP GYM,마포구
1196,함스짐(HAMS GYM),마포구
1197,밀레니엄짐 플러스,마포구
1198,The Movement,마포구
1199,인어스 휘트니스 마포점,마포구
1200,진헬스클럽,마포구
1201,헬스존,마포구
1202,FIT360°,마포구
1203,피트니스 온,마포구
1204,B.S.T GYM,마포구
1205,파워존HJ,마포구
1206,VIP 휘트니스,마포구
1207,무한 크로스핏,마포구
1208,더건강한피티,마포구
1209,MBC 휘트니스센터,마포구
1210,크로스핏 칸,마포구
1211,엠휘트니스,마포구
1212,Dr.GYM 피트니스,마포구
1213,큐어짐,마포구
1214,커브스 도화클럽,마포구
1215,VKNY Gym(비키니짐),마포구
1216,태영휘트니스,마포구
1217,다올핏,노원구
1218,모션짐,강동구
1219,디앤비,마포구
1220,데이지라이프 휘트니스,마포구
1221,휘트니스엠 롯데캐슬점,마포구
1222,휘트니스 에이든(Aiden),마포구
1223,스포짐휘트니스,마포구
1224,플래티넘PT(피티)스튜디오,마포구
1225,대성권투체육관,마포구
1226,스포애니 마포염리동점,마포구
1227,TNK BODYSCHOOL,마포구
1228,스포벡 휘트니스,마포구
1229,웰니스 휘트니스,마포구
1230,우리짐,마포구
1231,S-fit,마포구
1232,아이짐,마포구
1233,케이불스 휘트니스 마포구청역점,마포구
1234,애프터 피티,마포구
1235,엠베이스짐,마포구
1236,월드컵스파랜드24 체력단련장,마포구
1237,드림핏퍼스널트레이닝(DreamFit Personaltraining),마포구
1238,레벨에이치,마포구
1239,(주)크로스핏엑스,마포구
1240,휘트니스피플우먼 홍대점,마포구
1241,포에버핏 마포공덕점,마포구
1242,준휘트니스클럽,마포구
1243,U.D.T GYM,마포구
1244,스타트원 스포츠짐,마포구
1245,마크짐휘트니스,마포구
1246,ELITE FIT 24,마포구
1247,미지휘트니스골프클럽,마포구
1248,1st Class GYM,마포구
1249,다비드짐휘트니스,마포구
1250,아르케GYM(PT샵),마포구
1251,블루짐,마포구
1252,태그아웃,마포구
1253,CUBA FIT(쿠바핏),마포구
1254,소핏짐(So Fit Gym),마포구
1255,PRIVE FIT (프리베핏),마포구
1256,더바디피트니스,마포구
1257,Muscle96 GYM,마포구
1258,스마트짐,마포구
1259,행복애짐,마포구
1260,휘트니스 Aiden,마포구
1261,엔터짐,마포구
1262,세븐짐,마포구
1263,아놀드홍짐,마포구
1264,휘트니스엠 마포점,마포구
1265,서교휘트니스,마포구
1266,소의스포렉스,마포구
1267,바디엔스윙,마포구
1268,맥스짐,마포구
1269,FIT TO BE FITNESS,마포구
1270,킬러바디,마포구
1271,엠제트(MZ)휘트니스,마포구
1272,우리짐 상수점,마포구
1273,짐라이트,마포구
1274,피티(PT)전문 헬스엔 플레이스 합정점,마포구
1275,워너짐,양천구
1276,짐에스디비(GYM SDB),양천구
1277,디오필라앤핏,양천구
1278,피트니스 에이치,중랑구
1279,산체스짐,양천구
1280,프라임짐,양천구
1281,Life Body shop,양천구
1282,허니짐,양천구
1283,피트니스 바이블&스파,양천구
1284,메이크바디PT,양천구
1285,리폼드 크로스핏,양천구
1286,엠비엘,양천구
1287,갤러리 휘트니스,양천구
1288,브로제이짐(Brojgym),양천구
1289,트루그릿 피트니스 2호점,양천구
1290,건강해 스포츠,양천구
1291,아트짐 신정점,양천구
1292,라인짐 휘트니스,양천구
1293,나다피트니스,양천구
1294,노블레스헬스,양천구
1295,유니온헬스,양천구
1296,휘트니스클럽아로마,양천구
1297,스타존 휘트니스,양천구
1298,루나짐,양천구
1299,JS 휘트니스,양천구
1300,엘스케어,양천구
1301,GYM-MATE FITNESS CLUB,양천구
1302,로키스,양천구
1303,픽스바디짐 신월점,양천구
1304,스카이휘트니스,양천구
1305,피트니스포에버,양천구
1306,코카머슬 휘트니스,양천구
1307,스포짐휘트니스,양천구
1308,커브스 목동클럽,양천구
1309,광영문화원,양천구
1310,큐디짐S,양천구
1311,염창역점 스포애니 주)케이디스포츠,양천구
1312,슈퍼맨짐,양천구
1313,밀리언짐,양천구
1314,서문석헬스GYM,양천구
1315,목동스포츠센터,양천구
1316,신드롬PT스튜디오,양천구
1317,이강섭헬스클리닉,양천구
1318,굿모닝 휘트니스,양천구
1319,애플짐,양천구
1320,더 스페셜짐,양천구
1321,레벨업휘트니스,양천구
1322,업투 목동점,양천구
1323,MH토탈휘트니스,양천구
1324,머슬365,양천구
1325,K퍼스널트레이닝샵,양천구
1326,Min's맞춤운동전문센터,양천구
1327,위트짐,양천구
1328,주식회사 이태원짐 서대문구청점,서대문구
1329,브이핏,양천구
1330,DAGYM-FITNESS,양천구
1331,엘리트핏24  휘트니스,양천구
1332,펌프짐헬스클럽,양천구
1333,조형기 헬스,양천구
1334,머슬앤모션,양천구
1335,휘트니스 파이(FITNESS PI),양천구
1336,스포짐,양천구
1337,커브스 염창클럽,양천구
1338,레이디 휘트니스,양천구
1339,해동24시사우나헬스,양천구
1340,플러스버닝,양천구
1341,리오 퍼스널 트레이닝,양천구
1342,머스트 짐,양천구
1343,브이핏1:1퍼스널트레이닝,양천구
1344,마이프라이빗짐,양천구
1345,Fitness2.0 PT Studio,양천구
1346,라이프헬스클럽,양천구
1347,양천헬스,양천구
1348,목동PT 임펄스핏,양천구
1349,Play PT studio,양천구
1350,목동오목교YPTEMSGYM,양천구
1351,봉스짐,양천구
1352,클럽페이스메이커 목1점,양천구
1353,FIT U.S.A(피투사),양천구
1354,GYM I(짐아이),양천구
1355,목동역점 스포애니 (주)케이디스포츠,양천구
1356,(주)짐사이어티,양천구
1357,ONE FIT,양천구
1358,S-GYM,양천구
1359,산체스짐,양천구
1360,미니휘트니스3,양천구
1361,칸 스포츠,양천구
1362,에너짐,양천구
1363,청춘헬스,양천구
1364,케이불스 휘트니스 신월사거리점,양천구
1365,에이앤프리햅,양천구
1366,뉴블랙짐,양천구
1367,Gym BX4,양천구
1368,엠에스피지컬,양천구
1369,핏플필라테스엔휘트니스,양천구
1370,휘게짐,양천구
1371,럭스짐,양천구
1372,리온바디,양천구
1373,신드롬PT스튜디오 신정역2호점,양천구
1374,해부학적운동 목동점,양천구
1375,바디바디 피트니스,양천구
1376,헬린 목동점,양천구
1377,엠브이핏(MVFIT),양천구
1378,에스짐 파리공원점,양천구
1379,PeTer Gym Studio,양천구
1380,센트로 짐,양천구
1381,리파인 더 핏,양천구
1382,미니 휘트니스,양천구
1383,몬스터핏189,양천구
1384,스테디 짐,양천구
1385,씨너지핏,양천구
1386,벨류핏,양천구
1387,메가짐 목동,양천구
1388,트루그릿 피트니스,양천구
1389,이끌리짐,양천구
1390,씨엔조이레져스포츠,양천구
1391,무브 유,관악구
1392,에이블짐 마곡나루점,강서구
1393,껀바디(kkunbody),강서구
1394,벨르피티,강서구
1395,짐에브리원3,강서구
1396,건강한 운동,강서구
1397,BELIEVE PT STUDIO,강서구
1398,헬스보이짐 가양역점,강서구
1399,웨이트마스터GYM,강서구
1400,MH 토탈휘트니스 화곡점,강서구
1401,대방 스포츠센터,강서구
1402,안전지대 휘트니스,강서구
1403,이루어짐,강서구
1404,발산 피티샵 홀로서기,강서구
1405,어썸 플레이스 짐,강서구
1406,퓨어바디짐,강서구
1407,가꿈PT 스튜디오,강서구
1408,뉴핏샵,강서구
1409,정직한 피트니스,강서구
1410,바디채널 등촌역점,강서구
1411,스퀘어짐 양천향교,강서구
1412,HM무브먼트,강서구
1413,바디플렉스짐 공항시장역점,강서구
1414,캡틴짐,강서구
1415,슬림앤핏 1:1 PT,강서구
1416,라파리메디핏,강서구
1417,엠스타 휘트니스,강서구
1418,쿠타짐,강서구
1419,다이아짐,강서구
1420,태그아웃,강서구
1421,제이짐(J GYM),강서구
1422,온바디,영등포구
1423,F45 마곡역점,강서구
1424,다온나 필라테스&PT,강서구
1425,혼 GYM,강서구
1426,멋GYM,강서구
1427,엔에이핏,강서구
1428,어반 피티 스튜디오,강서구
1429,메이커스 짐,강서구
1430,젊어GYM,강서구
1431,프라임짐PT&필라테스,강서구
1432,커브스 까치산클럽,강서구
1433,1986 피트니스,강서구
1434,방화사거리점 스포애니 주)케이디스포츠,강서구
1435,HY 트레이닝,강서구
1436,바로온 피티&필라테스,강서구
1437,유핏,강서구
1438,(주)팬텀짐,강서구
1439,경춘체육관,강서구
1440,크로스핏 코알라,강서구
1441,바디플렉스짐,강서구
1442,불스짐,강서구
1443,웨이트랩,강서구
1444,JK블라썸호텔(휘트니스),강서구
1445,바크짐,강서구
1446,에너짐,강서구
1447,올데이,강서구
1448,새로고침 PT,강서구
1449,바디앤짐,동작구
1450,윤진화 퍼스널트레이닝,강서구
1451,더조은피티,강서구
1452,짐스페이스,강서구
1453,가벼워GYM,강서구
1454,리벌스핏,강서구
1455,운동하는 날 우장산점,강서구
1456,짐 에브리원 증미역점,강서구
1457,에스오엠 피트니스,강서구
1458,어뉴바디 PT&PILATES 강서구청점,강서구
1459,머슬포인트 짐,강서구
1460,액티브핏,강서구
1461,비에프휘트니스,강서구
1462,자마이카 PT 스튜디오,강서구
1463,(주) 스포니스 마곡점,강서구
1464,클라이짐,강서구
1465,핏 크러쉬 (FIT CRUSH),강서구
1466,라이크미,강서구
1467,MY FIRST GYM,강서구
1468,핏어팻GYM,강서구
1469,바디플렉스짐 강서구청점,강서구
1470,바디프로짐,강서구
1471,H 피트니스,강서구
1472,이지 스트랭스,강서구
1473,이바디,강서구
1474,제이뷰짐,강서구
1475,레오핏,강서구
1476,라인핏,강서구
1477,행복해GYM,강서구
1478,어뉴바디 PT&Pilates,강서구
1479,궁PT 마곡점,강서구
1480,이든핏,강서구
1481,DRAW BODY,강서구
1482,The B',강서구
1483,아이앤스포츠,강서구
1484,에스짐 염창점,강서구
1485,리폼드 크로스핏,강서구
1486,팀스파르타짐,강서구
1487,공감 휘트니스,강서구
1488,스키니짐,강서구
1489,포에버 퀸즈짐,강서구
1490,옵티멀 무브,강서구
1491,애플짐플러스,강서구
1492,열린산업개발 토탈휘트니스,강서구
1493,인스타일 휘트니스,강서구
1494,코카머슬로즈PT,강서구
1495,마블짐 휘트니스,강서구
1496,자마이카 휘트니스 필라테스 화곡점,강서구
1497,MAREE PT,강서구
1498,라이크미,강서구
1499,PT GROUND,강서구
1500,스테이 짐(STAY GYM),강서구
1501,우장산역점 스포애니 주)케이디스포츠,강서구
1502,그린헬스크럽,강서구
1503,위드에이치2,강서구
1504,하이짐 까치산점,강서구
1505,태광 스포츠,강서구
1506,등촌점 스포애니 주)케이디스포츠,강서구
1507,커브스 우장산클럽,강서구
1508,락 바디 짐,강서구
1509,샬롬헬스타운,강서구
1510,미 앤 스포츠,강서구
1511,주) 스포웰,강서구
1512,화곡역점 스포애니 주)케이디스포츠,강서구
1513,체리휘트니스,강서구
1514,리썸바디 필라니스,강서구
1515,기쁜우리체육센터,강서구
1516,클락짐,강서구
1517,K-휘트니스1,강서구
1518,슈퍼바디 짐,강서구
1519,삼성헬스프라자,강서구
1520,에이블짐 신방화역점,강서구
1521,저스트짐,강서구
1522,파크짐,서대문구
1523,스카이 핏,강서구
1524,GYM the Classic,강서구
1525,더핏불,강서구
1526,헬스-라이프,강서구
1527,강서구민올림픽체육센터,강서구
1528,KBS 스포츠월드 헬스클럽,강서구
1529,영헬스피아,강서구
1530,방화역점 스포애니 주)케이디스포츠,강서구
1531,라이프플러스 휘트니스 강서점,강서구
1532,핵 짐,강서구
1533,메이크바디,강서구
1534,단하나피티,강서구
1535,레몬트리짐,강서구
1536,바디코드,강서구
1537,스타짐,강서구
1538,랩스휘트니스 까치산,강서구
1539,피트니스 2.0,강서구
1540,쉐어짐,강서구
1541,GGpark,강서구
1542,아이엔지 휘트니스,강서구
1543,K-휘트니스2,강서구
1544,바디체크짐,강서구
1545,에스핏 피티 스튜디오,강서구
1546,슈퍼맨 짐,강서구
1547,팩토리짐,금천구
1548,바디채널 화곡점,강서구
1549,AKA 크로스핏,강서구
1550,에이블짐 수명산파크점,강서구
1551,아놀드홍 휘트니스 홈플러스 강서점,강서구
1552,마곡레포츠센터,강서구
1553,더 나아짐,강서구
1554,크로스핏 팬덤,강서구
1555,BREAK CALORIE,강서구
1556,WON GYM,강서구
1557,커브스 마곡클럽,강서구
1558,S 메디스포,강서구
1559,마이짐,강서구
1560,아놀드홍 휘트니스 홈플러스 가양점,강서구
1561,카이로스 짐,강서구
1562,백제헬스크럽,강서구
1563,(주)스퀘어짐,강서구
1564,렛츠런 24hour 휘트니스,강서구
1565,아크로짐 발산역점 24시 휘트니스,강서구
1566,바른PT,강남구
1567,휘트니스 팜 마곡센터,강서구
1568,이재규 스포츠 재활,강서구
1569,가양스포츠클럽,강서구
1570,JY FITNESS,강서구
1571,라이트핏,강서구
1572,Coca Muscle 휘트니스,강서구
1573,리썸바디 필라니스,강서구
1574,솔 휘트니스 ＆ 스포츠크리닉,강서구
1575,스카이 토탈 휘트니스 센타,강서구
1576,가양헬스클럽,강서구
1577,에코짐,강서구
1578,해피 휘트니스 클럽,강서구
1579,라이프 휘트니스,강서구
1580,헬스와 필라테스 화곡점,강서구
1581,ML GYM,강서구
1582,아이언 바디,강서구
1583,B-GYM,강서구
1584,MK짐,강서구
1585,ACTIVE 8,강서구
1586,(주)파크짐 서울역점,중구
1587,남스짐,구로구
1588,휘트니스 피플 우먼 구로디지털단지점,구로구
1589,필라트니스,구로구
1590,오렌지 휘트니스,구로구
1591,지오필라테스앤헬스,구로구
1592,EMS 바디발전소,구로구
1593,HJS헬스스튜디오,구로구
1594,아이런 휘트니스,동작구
1595,멋GYM,구로구
1596,드라코짐,구로구
1597,파이어리츠휘트니스,구로구
1598,FORWARD GYM,구로구
1599,팀엑스핏 고척,구로구
1600,원메디짐,구로구
1601,4 in 1 PT,구로구
1602,온리유휘트니스,구로구
1603,짐박스피트니스 구로디지털단지점,구로구
1604,벨로짐 구로점,구로구
1605,활로 피트 매니지먼트,서초구
1606,포에프 트레이닝,구로구
1607,우리 크로스핏 구디,구로구
1608,에이치 제이에스 퍼스널 트레이닝(HJS PT),구로구
1609,머슬96 짐(Muscle96 Gym) 개봉점,구로구
1610,팀엑스핏 개봉,구로구
1611,로키크로스핏,구로구
1612,혁짐,구로구
1613,남구로PT,구로구
1614,다온핏,구로구
1615,(주)리조트휘트니스 PT 구로디지털단지점,구로구
1616,라인팩토리,구로구
1617,핏블리짐 오류본점,구로구
1618,제이짐 휘트니스클럽,구로구
1619,뉴욕휘트니스,구로구
1620,주식회사 데일리앤핏,강남구
1621,제이디엘스포츠클럽,구로구
1622,제니스 스포츠클럽,구로구
1623,고척점 스포애니 주)케이디스포츠,구로구
1624,리커버리 휘트니스,구로구
1625,체인지 업 휘트니스,구로구
1626,조아짐,구로구
1627,바운드짐,구로구
1628,블랙스짐,광진구
1629,아이캔짐,구로구
1630,동양휘트니스,구로구
1631,헬스라이프,구로구
1632,팀레드 휘트니스,구로구
1633,에이블짐 종합운동장역점,송파구
1634,백본 휘트니스,구로구
1635,LIGHT FIT,구로구
1636,더블유티에스(WTS),마포구
1637,코끼리짐,구로구
1638,로망 휘트니스,구로구
1639,신원 건강랜드,구로구
1640,웰브릿지 스포츠,구로구
1641,드바디샵,광진구
1642,DOB휘트니스,구로구
1643,머슬마인드짐,구로구
1644,랩스 휘트니스 구로구청점,구로구
1645,구로디지털점 스포애니 주)케이디스포츠,구로구
1646,에스엔씨멀티짐,구로구
1647,투맨핏,구로구
1648,리얼바디짐 고척점,구로구
1649,오버탑휘트니스,구로구
1650,리얼바디짐 오류점,구로구
1651,노블휘트니스,구로구
1652,라인짐 필라테스 PT,구로구
1653,메이드짐,구로구
1654,Eunoia GYM,구로구
1655,렉시짐,구로구
1656,옐로우 팩토리,구로구
1657,(주)인스타짐 구로디지털단지역점,구로구
1658,클래스짐,구로구
1659,함서Gym 휘트니스,구로구
1660,올라운드짐,구로구
1661,(피투사) FIT U.S.A 신도림점,구로구
1662,워너비짐,구로구
1663,붐파크휘트니스,구로구
1664,Fit Boss GYM,구로구
1665,클래스짐 이엑스,구로구
1666,피티시모,구로구
1667,남스짐 천왕점,구로구
1668,체육시설신규신고(비스트짐),구로구
1669,주식회사 어반필드,구로구
1670,골드헬스,금천구
1671,그린헬스,금천구
1672,슬림한 바디,금천구
1673,건강을담다 season2,금천구
1674,슬림한바디 시흥점,금천구
1675,벽계수 스파,금천구
1676,스포플렉스(가산점),금천구
1677,미진헬스크럽,금천구
1678,신협헬스장,금천구
1679,G.X휘트니스센터,금천구
1680,뉴금천 휘트니스3,금천구
1681,The rebody PT,서초구
1682,거봉 휘트니스,금천구
