,사업장명,지역(구)
205,주식회사 태평로 바디스타,중구
206,DDPT&PILATES,중구
207,피엘유,중구
208,골든크라운 크로스핏 서대문역,중구
209,3S gym,중구
210,핏앤힐 (Fit and Hill),중구
211,잇즈(ITZ)핏,중구
212,세심한 PT studio,중구
213,비치바디,중구
214,엘리트핏24,중구
215,핏인라이프,마포구
216,관리의 기술,중구
217,CM헬스,중구
218,피트니스 월드,중구
219,파크짐,중구
220,황금스파,중구
221,제이엘스포츠,중구
222,(주)센터원웰니스,중구
223,(주)조선호텔앤리조트스테이트타워남산GYM,중구
224,(주)더한 오리엔스 호텔 & 레지던스,중구
225,엠피트니스,중구
226,이로운 퍼스널 트레이닝 스튜디오,중구
227,휘트니스센터,중구
228,OUTFIT FITNESS,중구
229,(주)스포짐앤밀론,중구
230,주식회사 무브옵,강남구
231,센트럴 피트니스,중구
232,엠비휘트니스,중구
233,시립서울청소년센터,중구
234,Medi & Fit (메디 앤 핏),중구
235,커스텀핏,노원구
236,스카이 P.P,중구
237,파크짐,중구
238,코리아나,중구
239,피트니스 메이트,강서구
240,바디플렉스짐,중구
241,올록볼록 PT Studio,중구
242,(주)머슬컴퍼니 머슬프렌즈짐,중구
243,서울시청역점 스포애니 (주)케이디스포츠,중구
244,베네핏,중구
245,(주)머슬인더박스,중구
246,엠씨티 짐 시청,중구
247,(주)스포짐옐로우 신당역점,중구
248,마인PT & 필라테스 신당청구점,중구
249,클라우드 짐 선유,영등포구
250,에이원 휘트니스,중구
251,조인성 퍼스널트레이닝 No.3,중구
252,GYM29,중구
253,UNO GYM,중구
254,㈜에이치비스포츠아이엔씨,중구
255,디에스디엘(주) 프레이저플레이스 센트럴 호텔,중구
256,스윗짐,중구
257,그랜드센트럴 피트니스,중구
258,긍정체육관,중구
259,피트니스비엠 ㈜피트비엠,중구
260,크로스핏 삼손,중구
261,슈브 핏,중구
262,시그마스포츠클럽,중구
263,피트니스101,중구
264,짐나우 퍼스널트레이닝,용산구
265,라온휘트니스,용산구
266,진핏퍼스널트레이닝,용산구
267,ONE MORE,용산구
268,바나나휘트니스24,용산구
269,스포벡휘트니스,용산구
270,오아핏,용산구
271,이태원짐,용산구
272,Sanctuary,용산구
273,F45 트레이닝 한남,용산구
274,망고짐,용산구
275,마음다짐,용산구
276,업핏 한남,용산구
277,시크모어 웰니스 스튜디오,용산구
278,랜스앤제이 퍼스널 트레이닝 스튜디오,용산구
279,유즈웰(USEWELL),용산구
280,제이짐,용산구
281,더블에이 이촌,용산구
282,피트 트레이닝센터,용산구
283,파프짐,용산구
284,만리 체육관,용산구
285,찰스짐,용산구
286,빅짐,용산구
287,후핏,용산구
288,스포짐 한남,용산구
289,판크 트레이닝클럽,용산구
290,Fit In Cool,용산구
291,팀레드,용산구
292,Fit Club,용산구
293,바나나필라 피티,용산구
294,Beautiful Evolution,용산구
295,에스퍼스널트레이닝,용산구
296,PENTACLE,용산구
297,레브트레이닝,용산구
298,스포벡,용산구
299,와가짐,용산구
300,칼라퍼스널트레이닝,용산구
301,프라이빗 웰니스,용산구
302,H 스튜디오,용산구
303,반트짐,용산구
304,바디컨설팅,용산구
305,TIM GYM,용산구
306,에이블짐 이태원역점,용산구
307,맹그로브 짐,용산구
308,서울시티크루,용산구
309,릴렉스 퍼스널트레이닝,용산구
310,드래곤힐스파휘트니스클럽,용산구
311,AK운동맞춤센터,용산구
312,살롱드핏,용산구
313,아고라피트니스 강남역점,서초구
314,웰니스짐,용산구
315,센트럴짐,용산구
316,우노 휘트니스클럽,용산구
317,동국스포츠,용산구
318,리콥 웰니스센터,용산구
319,J헬스클럽,용산구
320,스카이 휘트니스클럽,용산구
321,해밀톤 휘트니스센터,용산구
